"","p..bar.","h...kJ.kg.","h....kJ.kg.","s...kJ..kgK..","s....kJ..kgK.."
"121",103,1419.44,2719.32,3.37835,5.59733
"122",104,1423.55333333333,2717.22666666667,3.385,5.59127333333333
"123",105,1427.66666666667,2715.13333333333,3.39165,5.58521666666667
"124",106,1431.78,2713.04,3.3983,5.57916
"125",107,1435.89333333333,2710.94666666667,3.40495,5.57310333333333
"126",108,1440.00666666667,2708.85333333333,3.4116,5.56704666666667
"127",109,1444.12,2706.76,3.41825,5.56099
"128",110,1448.23333333333,2704.66666666667,3.4249,5.55493333333333
"129",111,1452.34666666667,2702.57333333333,3.43155,5.54887666666667
"130",112,1456.46,2700.48,3.4382,5.54282
"131",113,1460.57333333333,2698.38666666667,3.44485,5.53676333333333
"132",114,1464.68666666667,2696.29333333333,3.4515,5.53070666666667
"133",115,1468.8,2694.2,3.45815,5.52465
"134",116,1472.91333333333,2692.10666666667,3.4648,5.51859333333333
"135",117,1477.02666666667,2690.01333333333,3.47145,5.51253666666667
"136",118,1481.14,2687.92,3.4781,5.50648
"137",119,1485.25333333333,2685.82666666667,3.48475,5.50042333333333
"138",120,1489.36666666667,2683.73333333333,3.4914,5.49436666666667
"139",121,1493.48,2681.64,3.49805,5.48831
"140",122,1497.59333333333,2679.54666666667,3.5047,5.48225333333333
"141",123,1501.70666666667,2677.45333333333,3.51135,5.47619666666667
"142",124,1505.82,2675.36,3.518,5.47014
"143",125,1509.93333333333,2673.26666666667,3.52465,5.46408333333333
"144",126,1514.04666666667,2671.17333333333,3.5313,5.45802666666667
"145",127,1518.16,2669.08,3.53795,5.45197
"146",128,1522.27333333333,2666.98666666667,3.5446,5.44591333333333
"147",129,1526.38666666667,2664.89333333333,3.55125,5.43985666666667
"148",130,1530.5,2662.8,3.5579,5.4338
"149",131,1534.43,2660.165,3.564095,5.427655
"150",132,1538.36,2657.53,3.57029,5.42151
"151",133,1542.29,2654.895,3.576485,5.415365
"152",134,1546.22,2652.26,3.58268,5.40922
"153",135,1550.15,2649.625,3.588875,5.403075
"154",136,1554.08,2646.99,3.59507,5.39693
"155",137,1558.01,2644.355,3.601265,5.390785
"156",138,1561.94,2641.72,3.60746,5.38464
"157",139,1565.87,2639.085,3.613655,5.378495
"158",140,1569.8,2636.45,3.61985,5.37235
"159",141,1573.73,2633.815,3.626045,5.366205
"160",142,1577.66,2631.18,3.63224,5.36006
"161",143,1581.59,2628.545,3.638435,5.353915
"162",144,1585.52,2625.91,3.64463,5.34777
"163",145,1589.45,2623.275,3.650825,5.341625
"164",146,1593.38,2620.64,3.65702,5.33548
"165",147,1597.31,2618.005,3.663215,5.329335
"166",148,1601.24,2615.37,3.66941,5.32319
"167",149,1605.17,2612.735,3.675605,5.317045
"168",150,1609.1,2610.1,3.6818,5.3109
"169",151,1613.18,2606.96,3.688075,5.304275
"170",152,1617.26,2603.82,3.69435,5.29765
"171",153,1621.34,2600.68,3.700625,5.291025
"172",154,1625.42,2597.54,3.7069,5.2844
"173",155,1629.5,2594.4,3.713175,5.277775
"174",156,1633.58,2591.26,3.71945,5.27115
"175",157,1637.66,2588.12,3.725725,5.264525
"176",158,1641.74,2584.98,3.732,5.2579
"177",159,1645.82,2581.84,3.738275,5.251275
"178",160,1649.9,2578.7,3.74455,5.24465
"179",161,1653.98,2575.56,3.750825,5.238025
"180",162,1658.06,2572.42,3.7571,5.2314
"181",163,1662.14,2569.28,3.763375,5.224775
"182",164,1666.22,2566.14,3.76965,5.21815
"183",165,1670.3,2563,3.775925,5.211525
"184",166,1674.38,2559.86,3.7822,5.2049
"185",167,1678.46,2556.72,3.788475,5.198275
"186",168,1682.54,2553.58,3.79475,5.19165
"187",169,1686.62,2550.44,3.801025,5.185025
"188",170,1690.7,2547.3,3.8073,5.1784
"189",171,1695.13,2542.91,3.81404333333333,5.17035666666667
"190",172,1699.56,2538.52,3.82078666666667,5.16231333333333
"191",173,1703.99,2534.13,3.82753,5.15427
"192",174,1708.42,2529.74,3.83427333333333,5.14622666666667
"193",175,1712.85,2525.35,3.84101666666667,5.13818333333333
"194",176,1717.28,2520.96,3.84776,5.13014
"195",177,1721.71,2516.57,3.85450333333333,5.12209666666667
"196",178,1726.14,2512.18,3.86124666666667,5.11405333333333
"197",179,1730.57,2507.79,3.86799,5.10601
"198",180,1735,2503.4,3.87473333333333,5.09796666666667
"199",181,1739.43,2499.01,3.88147666666667,5.08992333333333
"200",182,1743.86,2494.62,3.88822,5.08188
"201",183,1748.29,2490.23,3.89496333333333,5.07383666666667
"202",184,1752.72,2485.84,3.90170666666667,5.06579333333333
"203",185,1757.15,2481.45,3.90845,5.05775
"204",186,1761.58,2477.06,3.91519333333333,5.04970666666667
"205",187,1766.01,2472.67,3.92193666666667,5.04166333333333
"206",188,1770.44,2468.28,3.92868,5.03362
"207",189,1774.87,2463.89,3.93542333333333,5.02557666666667
"208",190,1779.3,2459.5,3.94216666666667,5.01753333333333
"209",191,1783.73,2455.11,3.94891,5.00949
"210",192,1788.16,2450.72,3.95565333333333,5.00144666666667
"211",193,1792.59,2446.33,3.96239666666667,4.99340333333333
"212",194,1797.02,2441.94,3.96914,4.98536
"213",195,1801.45,2437.55,3.97588333333333,4.97731666666667
"214",196,1805.88,2433.16,3.98262666666667,4.96927333333333
"215",197,1810.31,2428.77,3.98937,4.96123
"216",198,1814.74,2424.38,3.99611333333333,4.95318666666667
"217",199,1819.17,2419.99,4.00285666666667,4.94514333333333
"218",200,1823.6,2415.6,4.0096,4.9371
